Rank,Title,HP,ATK,SPD,DEF,RES
0,Hector,52,36,24,37,19
1,Hinata,47,32,24,36,18
2,Eldigan,45,32,24,34,19
3,Gunter,43,32,24,33,18
4,Clive,45,33,25,32,19
5,Mordecai,47,37,24,39,20
6,Gordin,43,31,25,32,17
7,Lukas,45,35,22,38,17
8,Xander,44,32,24,37,17
9,Ephraim,45,35,25,32,20
10,Haar,45,37,25,36,18
11,Halloween Dorcas,49,41,25,37,21
12,Chrom,47,37,25,31,17
13,Picnic Lukas,51,37,21,42,22
14,Bartre,49,36,25,33,13
15,Gerome,45,38,25,34,19
16,Hector (LA),50,38,21,40,24
17,Travant,46,36,26,40,18
18,Groom Hinata,47,37,27,40,21
19,Cherche,46,38,25,32,16
20,Seliph,47,34,24,30,22
21,Michalis,43,34,26,35,19
22,Altena,45,37,25,39,20
23,Effie,50,40,22,33,23
24,Spring Bruno,41,30,24,35,14
25,Beruka,46,29,23,37,22
26,Flame Emperor,50,40,25,37,26
27,Frederick,43,35,25,36,14
28,Valbar,49,35,25,38,26
29,Dorcas,45,35,23,35,24
30,New Year Keaton,48,41,24,43,20
31,Boey,43,29,27,32,18
32,Legendary Ephraim,43,36,27,33,18
33,Alfonse,43,35,25,32,22
34,Plegian Raphael,48,42,28,38,23
35,Stahl,45,31,26,30,22
36,Keaton,45,41,24,38,19
37,Masquerade Eldigan,43,38,26,37,18
38,Brave Ike,43,36,28,35,20
39,Laslow,44,35,26,30,22
40,Lex,45,36,30,38,19
41,Vyland,47,41,30,36,19
42,Berkut,43,34,22,31,24
43,Legendary Hector,47,40,23,38,26
44,Luke,43,34,28,30,20
45,Spring Bartre,46,40,26,35,25
46,Zephiel,55,35,16,38,24
47,Flame Mordecai,48,43,29,43,24
48,Brave Ephraim,46,38,27,37,26
49,Fallen Robin (M),48,40,24,35,27
50,Silas,40,35,24,36,21
51,Cervantes,50,45,31,44,25
52,Brave Hector,48,37,22,39,28
53,Pirate Darros,46,36,32,37,21
54,Hoshidan Summer Xander,38,35,17,34,16
55,Quan,44,37,29,31,16
56,Spring Camilla,39,35,25,30,19
57,Halloween Hector,47,41,26,39,27
58,Walhart,41,37,27,36,16
59,Draug,50,30,32,39,18
60,Bertram,45,37,27,38,26
61,Summer Xander,43,32,30,36,16
62,Fallen Orson,43,38,28,36,23
63,Exalted Chrom,41,37,28,34,17
64,Fernand,45,41,26,32,23
65,Bantu,45,34,28,35,26
66,Tobin,46,31,27,33,26
67,Zelgius,46,36,33,38,21
68,Arden,60,36,16,41,16
69,Kjelle,47,40,22,37,28
70,Soiree Berkut,41,36,23,37,24
71,Black Knight,48,34,34,35,18
72,Galle,46,38,22,38,28
73,Donnel,43,35,29,32,23
74,Basilio,48,43,33,36,21
75,Gwendolyn,49,30,24,38,28
76,Ross,47,38,31,32,24
77,Tiki (Adult),40,35,23,35,24
78,Mustafa,45,38,25,36,28
79,Barst,46,33,32,30,17
80,Winter Chrom,51,40,19,35,29
81,Valter,42,32,31,34,19
82,Dimitri,40,36,29,34,18
83,Oboro,40,32,26,35,24
84,Ike,42,35,31,32,18
85,Halloween Dozla,45,38,29,35,27
86,Caineghis,47,37,23,37,30
87,Amelia,47,34,34,35,23
88,Legendary Ike,41,36,30,35,21
89,Alm,45,33,30,28,22
90,Gonzalez,50,42,35,33,21
91,Spring Henry,41,37,27,40,23
92,Shiro,41,35,30,35,22
93,Arthur (Fates),43,32,29,30,24
94,Ares,40,36,30,33,18
95,Groom Zelot,41,37,25,39,25
96,Nowi,45,34,27,30,27
97,Masquerade Quan,40,41,20,36,20
98,Pirate Tibarn,42,41,30,36,18
99,Jorge,45,36,27,35,29
100,Edelgard,41,39,30,37,21
101,Tibarn,41,38,31,34,18
102,Halloween Kellam,48,46,31,48,27
103,Winter Ephraim,45,41,23,36,29
104,Sigurd,41,35,32,34,17
105,Leon,39,34,30,30,15
106,New Year Kyza,45,39,26,41,30
107,Spring Narcian,43,35,34,37,18
108,New Year Hríd,42,38,19,36,27
109,Balthus,47,42,24,37,31
110,Robin (F),40,29,29,29,22
111,Robin (M),40,29,29,29,22
112,Cormag,42,36,32,34,23
113,Valentine's Rudolf,46,43,21,41,29
114,Gray,43,35,32,30,22
115,Henry,45,23,22,32,25
116,Scáthach,43,42,30,43,24
117,Winter Robin,45,35,34,35,25
118,Duma,48,40,21,34,31
119,Pirate Geese,46,38,35,32,21
120,Midori,41,41,30,34,21
121,Hríd,41,37,17,36,26
122,Camus,42,32,33,31,17
123,Legendary Sigurd,41,41,23,37,26
124,Dedue,50,45,17,45,28
125,Ludveck,46,44,32,45,28
126,Linus,42,37,33,32,19
127,Summer Frederick,40,32,31,28,18
128,Spring Chrom,43,35,32,28,20
129,Virion,46,31,31,26,13
130,Sharena,43,32,32,29,22
131,Ninja Haar,44,42,24,44,28
132,Valentine's Greil,47,41,18,38,30
133,Reinhardt,38,32,23,27,25
134,Duo Ephraim,41,39,30,37,25
135,Young Boyd,50,43,36,31,21
136,Legendary Chrom,41,42,26,34,25
137,Halloween Myrrh,46,38,23,40,32
138,Soiree Reinhardt,38,34,21,27,25
139,New Year Corrin (M),37,32,30,34,18
140,Narcian,42,29,29,32,26
141,Vigarde,46,47,30,44,29
142,Summer Donnel,46,45,31,40,30
143,Death Knight,40,35,25,30,27
144,Astram,44,35,36,36,21
145,Brigand Boss,45,42,35,35,24
146,Fallen Tiki (Young),45,36,34,37,28
147,Reinhardt (WT),40,35,23,31,28
148,Finn,40,34,33,32,18
149,Spring Alfonse,41,35,33,30,18
150,Laevatein,39,37,31,34,22
151,Yarne,40,35,33,32,17
152,Valentine's Gustav,49,41,18,46,31
153,Brave Alm,42,38,35,37,20
154,Gerik,47,37,36,30,22
155,Shannan,43,38,36,37,18
156,Valentine's Alfonse,43,38,25,37,31
157,Valentine's Líf,39,39,25,30,25
158,Cain,42,32,32,27,21
159,Ogma,47,35,34,28,13
160,Surtr,50,39,17,40,33
161,Melady,41,40,33,41,17
162,Forsyth,47,40,20,39,33
163,Hawkeye,45,33,22,28,30
164,Fallen Ashnard,43,37,21,35,31
165,Fallen Hardin,45,34,28,36,32
166,Legendary Leif,40,38,22,29,27
167,Merric,43,26,32,28,19
168,Legendary Seliph,41,41,17,37,26
169,Nah,44,34,25,38,32
170,Duo Palla,40,39,31,33,24
171,Helbindi,44,35,18,35,31
172,Rearmed Líf,41,43,29,41,26
173,Bridal Oboro,42,39,35,40,16
174,Valentine's Ike,45,37,38,35,19
175,Benny,48,35,23,44,34
176,Minerva,40,31,33,32,22
177,Saber,40,31,33,32,22
178,Bridal Charlotte,46,36,32,24,19
179,Líf,42,38,30,34,29
180,Roshea,41,38,35,38,21
181,Myrrh,42,33,25,36,31
182,Corrin (M),42,32,32,28,24
183,Eliwood (LA),47,38,32,29,29
184,Valentine Silque,40,28,22,32,29
185,Seteth,44,36,36,32,24
186,Matthis,41,43,32,38,25
187,Valentian Palla,41,42,21,41,28
188,Seth,37,32,31,32,22
189,Summer Caspar,46,41,36,30,23
190,Legendary Tiki (Young),45,34,35,37,29
191,Spring Michalis,43,45,32,47,17
192,Marisa,46,30,36,30,21
193,Summer Ogma,44,38,38,35,21
194,Valentine's Chrom,40,44,27,40,26
195,Siegbert,41,34,35,31,16
196,Ninja Heath,42,43,23,40,30
197,Jamke,38,36,32,29,17
198,Garon,43,33,22,33,32
199,Palla,42,31,31,28,26
200,Idunn,45,35,26,39,34
201,Sophia,40,33,19,28,29
202,Atlas (Unit),46,43,37,34,27
203,Spring Xander,40,25,28,35,26
204,Azama,43,21,26,32,25
205,Summer Laevatein,38,38,16,31,26
206,Laegjarn,41,32,36,36,17
207,Brave Dimitri,41,40,36,40,19
208,Adrift Corrin (M),42,35,35,31,24
209,Halloween Jakob,42,35,23,33,32
210,Corrin (F),41,27,34,34,21
211,Brave Eliwood,40,37,35,32,18
212,Sheena,45,30,25,36,33
213,Jeralt,41,43,26,39,30
214,Murdock,47,45,23,45,35
215,Winter Hilda (Three Houses),44,39,38,37,26
216,Hans,46,45,39,35,21
217,Mamori,43,37,24,42,33
218,Eyvel,41,33,35,38,25
219,New Year Alfonse,41,38,17,35,30
220,Fallen Gustav,40,41,25,38,30
221,Tiki (Young),41,31,30,32,29
222,Fallen Berkut,40,35,17,35,30
223,Marth,41,31,34,29,23
224,Summer Helbindi,44,36,18,37,33
225,Panne,41,29,34,30,23
226,Halloween Kurthnaga,45,39,27,36,35
227,Caellach,45,40,27,31,33
228,Rearmed Alfred,40,45,25,43,27
229,Summer Sylvain,42,32,35,27,16
230,Takumi,40,32,33,25,18
231,Picnic Leo,37,33,21,27,28
232,Heath,40,35,33,33,27
233,Teatime Sigurd,40,46,31,35,16
234,Winter Zephiel,48,38,19,38,36
235,Silque,39,33,23,35,31
236,Nemesis,43,39,23,37,34
237,Karel,47,30,35,25,20
238,Echidna,45,34,36,30,27
239,New Year Camilla,40,33,35,31,23
240,Legendary Marth,40,34,36,32,21
241,Matthew,41,25,34,30,18
242,Dieck,40,40,35,36,25
243,New Year Laegjarn,38,32,35,35,17
244,Wind Tribe Fuga,42,46,30,45,30
245,Flame Múspell,40,43,26,41,30
246,Duessel,41,39,18,39,31
247,Gilliam,47,44,21,48,35
248,Fae,46,33,28,25,30
249,Young Minerva,40,36,37,35,19
250,Lyon,41,34,21,26,30
251,Ferdinand,41,32,35,30,24
252,Summer Innes,42,33,37,30,20
253,Pirate Veronica,38,39,19,36,29
254,Legendary Eliwood,37,36,34,33,16
255,Kempf,42,33,33,27,26
256,Spring Minerva,41,36,38,35,18
257,Hinoka,41,35,32,25,24
258,Sirius (Unit),40,34,37,35,16
259,Osian,42,35,36,33,27
260,Ryoma,41,34,35,27,21
261,Sylvain,40,44,35,37,23
262,Ninja Cherche,43,44,20,44,32
263,Summer Ylgr,42,35,36,30,25
264,Diamant,41,46,36,43,21
265,Ayra,41,33,37,31,21
266,Oscar,40,33,34,26,21
267,Python,38,32,35,31,20
268,Winter Jaffar,44,35,37,31,27
269,Kana (F),40,30,34,33,26
270,Groom Marth,40,31,36,30,20
271,Pirate Lifis,47,36,40,30,23
272,Summer Tiki (Adult),35,36,30,32,24
273,Summer Wolt,40,34,34,25,17
274,Plegian Kris,41,37,37,31,22
275,Jakob,39,29,31,25,24
276,Gatrie,47,42,17,44,35
277,Arion,41,45,36,46,21
278,Kamui,44,38,41,36,22
279,Askr,40,43,26,43,31
280,Owain,41,32,37,31,22
281,Itsuki,41,37,30,33,32
282,Sain,41,42,38,36,18
283,Nils,45,31,35,26,25
284,Petrine,42,35,37,30,24
285,Brave Lucina,41,34,36,27,19
286,Winter Felix,44,38,37,32,29
287,Velouria,40,35,37,33,23
288,Halloween Ena,44,36,23,37,36
289,Ranulf,40,30,37,33,17
290,Saizo,36,29,34,33,16
291,Summer Lorenz,45,32,31,25,29
292,Hilda (Three Houses),43,37,37,28,23
293,Nephenee,37,31,35,34,20
294,Roy,44,30,31,25,28
295,Fallen Corrin (F),43,35,37,31,27
296,Byleth (M),40,36,38,34,20
297,Halloween Robin (M),46,43,21,43,37
298,Legendary Robin (F),40,32,35,30,25
299,Halloween Kagero,41,38,21,32,33
300,Winter Lissa,43,33,30,35,34
301,Masked Marth,43,34,36,25,19
302,Lucina,43,34,36,25,19
303,Faye,42,30,25,26,31
304,Ash,41,39,27,41,34
305,Fallen Corrin (M),42,38,38,33,26
306,Norne,42,32,36,31,27
307,Julian,40,38,38,33,18
308,Spring Idunn,46,37,26,37,38
309,Gregor,40,44,37,43,23
310,Catria,39,31,34,29,25
311,Jaffar,41,26,33,25,22
312,Young Marth,41,36,37,32,26
313,Fallen Muarim,45,43,40,31,23
314,Ascended Idunn,45,43,26,43,38
315,Leo,39,29,22,25,30
316,Spring Luthier,41,38,36,31,27
317,Hostile Springs Sakura,36,35,32,26,21
318,Nailah,40,31,37,32,23
319,Abel,39,33,32,25,25
320,Winter Eirika,42,36,23,30,34
321,Subaki,40,25,35,35,22
322,Legion,46,36,35,22,18
323,Raven,41,34,35,25,22
324,New Year Laevatein,33,36,30,27,18
325,Lissa,39,26,25,28,30
326,Hostile Springs Ryoma,40,35,36,28,23
327,Kana (M),40,31,33,31,29
328,Ethlyn,38,28,34,26,20
329,Bridal Tanith,37,34,36,33,21
330,Libra,40,35,32,28,29
331,Jeorge,37,32,32,24,22
332,Spring Marisa,42,33,38,28,21
333,Chad,45,30,37,26,23
334,Brave Edelgard,46,45,16,43,35
335,Gharnef,38,30,34,27,23
336,Rinkah,40,34,39,41,18
337,Legendary Edelgard,45,42,17,39,36
338,Spring Loki,39,31,34,27,25
339,Ninja Corrin (M),41,40,38,35,28
340,Halloween Rolf,40,30,36,28,23
341,Roderick,40,31,34,25,24
342,Valentian Catria,41,38,36,27,24
343,Rutger,44,32,39,29,24
344,Summer Tiki (Young),40,33,37,32,26
345,New Year Velouria,41,38,40,34,23
346,Summer Cordelia,41,32,38,28,18
347,Spring Myrrh,40,38,25,40,35
348,Clarisse,37,31,34,25,20
349,Adrift Corrin (F),41,31,37,32,27
350,Cyril,46,42,44,35,26
351,Tharja,39,32,34,23,20
352,Fallen Celica,40,35,35,27,26
353,Jill,40,39,40,36,17
354,Brave Roy,38,32,34,26,24
355,Ninja Laevatein,41,42,18,37,34
356,Flavia,41,40,41,36,23
357,Joshua,40,31,35,30,28
358,Summer Seth,40,40,38,31,24
359,Leif,40,32,38,30,23
360,Fallen Dimitri,40,42,40,38,17
361,Igrene,42,37,37,26,24
362,Summer Norne,42,37,39,31,27
363,Winter Tharja,43,34,18,34,36
364,Celica,39,32,33,22,22
365,Hatari Deen,43,36,39,27,23
366,Sonia,40,35,24,32,35
367,Byleth (F),40,34,40,33,21
368,Holst,42,43,41,35,26
369,Halloween Xane,47,30,34,25,30
370,Kent,42,37,40,30,24
371,Pirate Brigid,41,37,40,30,19
372,Legendary Ryoma,41,34,39,28,20
373,Sothe,39,36,33,22,21
374,Legendary Robin (M),40,45,30,31,31
375,Pirate Surtr,45,45,16,44,36
376,Conrad,40,31,22,34,35
377,New Year Yarne,40,43,40,35,21
378,Catherine,43,39,41,30,23
379,Summer Dimitri,40,42,40,35,17
380,Lethe,41,33,38,26,19
381,Legendary Myrrh,40,39,25,42,36
382,Legendary Dimitri,40,41,41,37,18
383,Sothis,41,34,39,32,27
384,Legendary Alm,40,37,37,26,22
385,Guy,44,37,43,33,25
386,Valentine Faye,43,40,23,35,38
387,Phina,40,35,37,26,23
388,Ganglöt,40,44,30,38,35
389,Ymir,38,40,26,35,34
390,Summer Leonie,41,36,39,27,19
391,Legendary Roy,39,34,38,32,26
392,Limstella,41,39,23,32,36
393,Thórr,40,44,19,41,34
394,Performing Inigo,37,28,33,22,20
395,Summer Freyr,41,38,16,38,35
396,Ótr,41,41,17,40,35
397,Summer Ephraim,41,47,16,44,31
398,Brady,41,33,32,23,28
399,Brave Chrom,41,42,42,37,17
400,Rath,41,33,35,23,24
401,Odin,43,22,32,25,25
402,Brave Seliph,40,43,41,37,18
403,Soleil,37,38,35,28,24
404,Olivia (YT),36,30,34,26,23
405,Halloween L'Arachel,39,36,34,22,20
406,Valentine Conrad,39,32,23,33,35
407,Galzus,40,43,41,36,22
408,Flame Rinkah,40,37,41,44,25
409,Shigure,40,33,37,27,25
410,Lachesis,39,32,25,22,30
411,Halloween Corrin (M),44,44,21,44,39
412,Eremiya,44,32,35,23,27
413,Fallen Takumi,37,31,34,25,24
414,Legendary Xander,40,42,41,35,17
415,Altina,42,38,20,30,36
416,Naga (Unit),37,30,36,33,26
417,New Year Fáfnir,40,43,39,31,16
418,Winter Cecilia,41,35,23,30,36
419,Summer Ashe,40,37,41,32,18
420,Larcei,41,36,40,30,25
421,Legendary Corrin (F),41,38,40,34,29
422,Summer Noire,36,32,36,27,20
423,Valentine's Alm,40,35,40,32,25
424,Gaius,42,29,36,22,19
425,Young Innes,43,37,38,26,27
426,Summer Edelgard,46,45,17,43,39
427,Brave Gatekeeper,41,37,17,40,36
428,Shez (M),40,43,41,37,26
429,Bridal Sophia,38,40,19,36,34
430,Charlotte,48,43,41,25,18
431,Legendary Lucina,36,34,35,25,20
432,Ninja Zihark,43,37,42,30,24
