Rank,Title,HP,ATK,SPD,DEF,RES
0,Hector,52,36,24,37,19
1,Mordecai,47,37,24,39,20
2,Halloween Dorcas,49,41,25,37,21
3,Hinata,47,32,24,36,18
4,Picnic Lukas,51,37,21,42,22
5,Groom Hinata,47,37,27,40,21
6,Travant,46,36,26,40,18
7,Hector (LA),50,38,21,40,24
8,Haar,45,37,25,36,18
9,Altena,45,37,25,39,20
10,Effie,50,40,22,33,23
11,Lukas,45,35,22,38,17
12,Valbar,49,35,25,38,26
13,Bartre,49,36,25,33,13
14,Gerome,45,38,25,34,19
15,Chrom,47,37,25,31,17
16,Flame Emperor,50,40,25,37,26
17,Eldigan,45,32,24,34,19
18,Keaton,45,41,24,38,19
19,Cherche,46,38,25,32,16
20,Ephraim,45,35,25,32,20
21,New Year Keaton,48,41,24,43,20
22,Dorcas,45,35,23,35,24
23,Clive,45,33,25,32,19
24,Xander,44,32,24,37,17
25,Plegian Raphael,48,42,28,38,23
26,Lex,45,36,30,38,19
27,Seliph,47,34,24,30,22
28,Vyland,47,41,30,36,19
29,Masquerade Eldigan,43,38,26,37,18
30,Legendary Hector,47,40,23,38,26
31,Michalis,43,34,26,35,19
32,Beruka,46,29,23,37,22
33,Spring Bartre,46,40,26,35,25
34,Brave Ephraim,46,38,27,37,26
35,Fallen Robin (M),48,40,24,35,27
36,Zephiel,55,35,16,38,24
37,Brave Ike,43,36,28,35,20
38,Pirate Darros,46,36,32,37,21
39,Brave Hector,48,37,22,39,28
40,Legendary Ephraim,43,36,27,33,18
41,Draug,50,30,32,39,18
42,Bertram,45,37,27,38,26
43,Frederick,43,35,25,36,14
44,Gunter,43,32,24,33,18
45,Alfonse,43,35,25,32,22
46,Fallen Orson,43,38,28,36,23
47,Fernand,45,41,26,32,23
48,Zelgius,46,36,33,38,21
49,Halloween Hector,47,41,26,39,27
50,Bantu,45,34,28,35,26
51,Black Knight,48,34,34,35,18
52,Kjelle,47,40,22,37,28
53,Galle,46,38,22,38,28
54,Gwendolyn,49,30,24,38,28
55,Laslow,44,35,26,30,22
56,Ross,47,38,31,32,24
57,Quan,44,37,29,31,16
58,Tobin,46,31,27,33,26
59,Gordin,43,31,25,32,17
60,Stahl,45,31,26,30,22
61,Mustafa,45,38,25,36,28
62,Walhart,41,37,27,36,16
63,Summer Xander,43,32,30,36,16
64,Halloween Dozla,45,38,29,35,27
65,Winter Chrom,51,40,19,35,29
66,Soiree Berkut,41,36,23,37,24
67,Caineghis,47,37,23,37,30
68,Donnel,43,35,29,32,23
69,Amelia,47,34,34,35,23
70,Berkut,43,34,22,31,24
71,Silas,40,35,24,36,21
72,Luke,43,34,28,30,20
73,Exalted Chrom,41,37,28,34,17
74,Basilio,48,43,33,36,21
75,Flame Mordecai,48,43,29,43,24
76,Arden,60,36,16,41,16
77,Spring Henry,41,37,27,40,23
78,Barst,46,33,32,30,17
79,Jorge,45,36,27,35,29
80,Pirate Tibarn,42,41,30,36,18
81,Groom Zelot,41,37,25,39,25
82,Legendary Ike,41,36,30,35,21
83,Boey,43,29,27,32,18
84,Edelgard,41,39,30,37,21
85,Shiro,41,35,30,35,22
86,Valter,42,32,31,34,19
87,Nowi,45,34,27,30,27
88,Tiki (Adult),40,35,23,35,24
89,Winter Ephraim,45,41,23,36,29
90,Ike,42,35,31,32,18
91,Dimitri,40,36,29,34,18
92,Gonzalez,50,42,35,33,21
93,Spring Narcian,43,35,34,37,18
94,Alm,45,33,30,28,22
95,Tibarn,41,38,31,34,18
96,Spring Bruno,41,30,24,35,14
97,Masquerade Quan,40,41,20,36,20
98,Cormag,42,36,32,34,23
99,Winter Robin,45,35,34,35,25
100,Pirate Geese,46,38,35,32,21
101,Oboro,40,32,26,35,24
102,New Year Hríd,42,38,19,36,27
103,Duma,48,40,21,34,31
104,Midori,41,41,30,34,21
105,Legendary Sigurd,41,41,23,37,26
106,Arthur (Fates),43,32,29,30,24
107,Ares,40,36,30,33,18
108,Sigurd,41,35,32,34,17
109,New Year Kyza,45,39,26,41,30
110,Duo Ephraim,41,39,30,37,25
111,Gray,43,35,32,30,22
112,Balthus,47,42,24,37,31
113,Legendary Chrom,41,42,26,34,25
114,Linus,42,37,33,32,19
115,Valentine's Greil,47,41,18,38,30
116,Valentine's Rudolf,46,43,21,41,29
117,Scáthach,43,42,30,43,24
118,Astram,44,35,36,36,21
119,Halloween Myrrh,46,38,23,40,32
120,Cervantes,50,45,31,44,25
121,Spring Camilla,39,35,25,30,19
122,Hríd,41,37,17,36,26
123,Brave Alm,42,38,35,37,20
124,Spring Chrom,43,35,32,28,20
125,Gerik,47,37,36,30,22
126,Valentine's Alfonse,43,38,25,37,31
127,Shannan,43,38,36,37,18
128,Ninja Haar,44,42,24,44,28
129,Fallen Tiki (Young),45,36,34,37,28
130,Sharena,43,32,32,29,22
131,Brigand Boss,45,42,35,35,24
132,Young Boyd,50,43,36,31,21
133,Camus,42,32,33,31,17
134,Laevatein,39,37,31,34,22
135,Melady,41,40,33,41,17
136,Fallen Ashnard,43,37,21,35,31
137,Nah,44,34,25,38,32
138,Fallen Hardin,45,34,28,36,32
139,Ogma,47,35,34,28,13
140,Duo Palla,40,39,31,33,24
141,Legendary Seliph,41,41,17,37,26
142,Bridal Oboro,42,39,35,40,16
143,Narcian,42,29,29,32,26
144,Líf,42,38,30,34,29
145,Helbindi,44,35,18,35,31
146,Valentine's Ike,45,37,38,35,19
147,Roshea,41,38,35,38,21
148,Spring Alfonse,41,35,33,30,18
149,Yarne,40,35,33,32,17
150,Finn,40,34,33,32,18
151,Myrrh,42,33,25,36,31
152,Eliwood (LA),47,38,32,29,29
153,Forsyth,47,40,20,39,33
154,Seteth,44,36,36,32,24
155,Death Knight,40,35,25,30,27
156,Rearmed Líf,41,43,29,41,26
157,Valentian Palla,41,42,21,41,28
158,Reinhardt (WT),40,35,23,31,28
159,Valentine's Líf,39,39,25,30,25
160,Hoshidan Summer Xander,38,35,17,34,16
161,Hawkeye,45,33,22,28,30
162,Virion,46,31,31,26,13
163,Surtr,50,39,17,40,33
164,Bridal Charlotte,46,36,32,24,19
165,Marisa,46,30,36,30,21
166,Summer Caspar,46,41,36,30,23
167,Matthis,41,43,32,38,25
168,Summer Ogma,44,38,38,35,21
169,Legendary Tiki (Young),45,34,35,37,29
170,Leon,39,34,30,30,15
171,Valentine's Chrom,40,44,27,40,26
172,Dedue,50,45,17,45,28
173,Garon,43,33,22,33,32
174,Legendary Leif,40,38,22,29,27
175,Ninja Heath,42,43,23,40,30
176,Adrift Corrin (M),42,35,35,31,24
177,Idunn,45,35,26,39,34
178,Henry,45,23,22,32,25
179,Sheena,45,30,25,36,33
180,Cain,42,32,32,27,21
181,Minerva,40,31,33,32,22
182,Saber,40,31,33,32,22
183,Laegjarn,41,32,36,36,17
184,Corrin (M),42,32,32,28,24
185,New Year Corrin (M),37,32,30,34,18
186,Halloween Jakob,42,35,23,33,32
187,Eyvel,41,33,35,38,25
188,Brave Dimitri,41,40,36,40,19
189,Robin (F),40,29,29,29,22
190,Robin (M),40,29,29,29,22
191,Summer Frederick,40,32,31,28,18
192,Siegbert,41,34,35,31,16
193,Benny,48,35,23,44,34
194,Fallen Gustav,40,41,25,38,30
195,Brave Eliwood,40,37,35,32,18
196,Valentine's Gustav,49,41,18,46,31
197,Summer Helbindi,44,36,18,37,33
198,Summer Donnel,46,45,31,40,30
199,Jeralt,41,43,26,39,30
200,New Year Alfonse,41,38,17,35,30
201,Mamori,43,37,24,42,33
202,Palla,42,31,31,28,26
203,Caellach,45,40,27,31,33
204,Heath,40,35,33,33,27
205,Teatime Sigurd,40,46,31,35,16
206,Tiki (Young),41,31,30,32,29
207,Ludveck,46,44,32,45,28
208,Echidna,45,34,36,30,27
209,Duessel,41,39,18,39,31
210,Corrin (F),41,27,34,34,21
211,Nemesis,43,39,23,37,34
212,Young Minerva,40,36,37,35,19
213,Winter Hilda (Three Houses),44,39,38,37,26
214,Dieck,40,40,35,36,25
215,Fallen Berkut,40,35,17,35,30
216,Legendary Marth,40,34,36,32,21
217,Spring Minerva,41,36,38,35,18
218,Halloween Kurthnaga,45,39,27,36,35
219,Seth,37,32,31,32,22
220,Osian,42,35,36,33,27
221,Fae,46,33,28,25,30
222,Rearmed Alfred,40,45,25,43,27
223,New Year Camilla,40,33,35,31,23
224,Marth,41,31,34,29,23
225,Merric,43,26,32,28,19
226,Silque,39,33,23,35,31
227,Atlas (Unit),46,43,37,34,27
228,Karel,47,30,35,25,20
229,Jamke,38,36,32,29,17
230,Summer Innes,42,33,37,30,20
231,Summer Ylgr,42,35,36,30,25
232,Sirius (Unit),40,34,37,35,16
233,Spring Michalis,43,45,32,47,17
234,Pirate Veronica,38,39,19,36,29
235,Ferdinand,41,32,35,30,24
236,Winter Jaffar,44,35,37,31,27
237,Spring Xander,40,25,28,35,26
238,Flame Múspell,40,43,26,41,30
239,Winter Zephiel,48,38,19,38,36
240,Panne,41,29,34,30,23
241,Plegian Kris,41,37,37,31,22
242,Valentine Silque,40,28,22,32,29
243,Ayra,41,33,37,31,21
244,Kempf,42,33,33,27,26
245,New Year Laegjarn,38,32,35,35,17
246,Vigarde,46,47,30,44,29
247,Itsuki,41,37,30,33,32
248,Petrine,42,35,37,30,24
249,Sylvain,40,44,35,37,23
250,Kana (F),40,30,34,33,26
251,Soiree Reinhardt,38,34,21,27,25
252,Velouria,40,35,37,33,23
253,Summer Sylvain,42,32,35,27,16
254,Pirate Lifis,47,36,40,30,23
255,Hilda (Three Houses),43,37,37,28,23
256,Summer Laevatein,38,38,16,31,26
257,Reinhardt,38,32,23,27,25
258,Legendary Eliwood,37,36,34,33,16
259,Ryoma,41,34,35,27,21
260,Halloween Kellam,48,46,31,48,27
261,Hans,46,45,39,35,21
262,Byleth (M),40,36,38,34,20
263,Owain,41,32,37,31,22
264,Fallen Corrin (F),43,35,37,31,27
265,Nils,45,31,35,26,25
266,Halloween Ena,44,36,23,37,36
267,Halloween Kagero,41,38,21,32,33
268,Hinoka,41,35,32,25,24
269,Winter Lissa,43,33,30,35,34
270,Sain,41,42,38,36,18
271,Summer Lorenz,45,32,31,25,29
272,Sophia,40,33,19,28,29
273,Norne,42,32,36,31,27
274,Julian,40,38,38,33,18
275,Winter Felix,44,38,37,32,29
276,Groom Marth,40,31,36,30,20
277,Young Marth,41,36,37,32,26
278,Fallen Corrin (M),42,38,38,33,26
279,Legendary Robin (F),40,32,35,30,25
280,Kamui,44,38,41,36,22
281,Spring Luthier,41,38,36,31,27
282,Ranulf,40,30,37,33,17
283,Brave Lucina,41,34,36,27,19
284,Python,38,32,35,31,20
285,Azama,43,21,26,32,25
286,Masked Marth,43,34,36,25,19
287,Lucina,43,34,36,25,19
288,Roy,44,30,31,25,28
289,Summer Tiki (Adult),35,36,30,32,24
290,Winter Eirika,42,36,23,30,34
291,Lyon,41,34,21,26,30
292,Askr,40,43,26,43,31
293,Oscar,40,33,34,26,21
294,Nailah,40,31,37,32,23
295,Ninja Cherche,43,44,20,44,32
296,Ash,41,39,27,41,34
297,Nephenee,37,31,35,34,20
298,Legion,46,36,35,22,18
299,Hostile Springs Ryoma,40,35,36,28,23
300,Takumi,40,32,33,25,18
301,Kana (M),40,31,33,31,29
302,Rinkah,40,34,39,41,18
303,Spring Marisa,42,33,38,28,21
304,Libra,40,35,32,28,29
305,Chad,45,30,37,26,23
306,Matthew,41,25,34,30,18
307,Bridal Tanith,37,34,36,33,21
308,Valentian Catria,41,38,36,27,24
309,Catria,39,31,34,29,25
310,Rutger,44,32,39,29,24
311,Summer Tiki (Young),40,33,37,32,26
312,Summer Wolt,40,34,34,25,17
313,Raven,41,34,35,25,22
314,Subaki,40,25,35,35,22
315,Faye,42,30,25,26,31
316,Spring Idunn,46,37,26,37,38
317,Adrift Corrin (F),41,31,37,32,27
318,Diamant,41,46,36,43,21
319,Fallen Muarim,45,43,40,31,23
320,New Year Velouria,41,38,40,34,23
321,Spring Myrrh,40,38,25,40,35
322,Jill,40,39,40,36,17
323,Fallen Celica,40,35,35,27,26
324,Summer Cordelia,41,32,38,28,18
325,Gatrie,47,42,17,44,35
326,Igrene,42,37,37,26,24
327,Summer Seth,40,40,38,31,24
328,Ninja Corrin (M),41,40,38,35,28
329,Ninja Laevatein,41,42,18,37,34
330,Winter Tharja,43,34,18,34,36
331,Joshua,40,31,35,30,28
332,Wind Tribe Fuga,42,46,30,45,30
333,Halloween Rolf,40,30,36,28,23
334,Leif,40,32,38,30,23
335,Abel,39,33,32,25,25
336,Hatari Deen,43,36,39,27,23
337,Picnic Leo,37,33,21,27,28
338,Byleth (F),40,34,40,33,21
339,Sonia,40,35,24,32,35
340,Summer Norne,42,37,39,31,27
341,Halloween Xane,47,30,34,25,30
342,Legendary Edelgard,45,42,17,39,36
343,Pirate Brigid,41,37,40,30,19
344,Murdock,47,45,23,45,35
345,Gregor,40,44,37,43,23
346,Saizo,36,29,34,33,16
347,Spring Loki,39,31,34,27,25
348,Kent,42,37,40,30,24
349,Arion,41,45,36,46,21
350,Legendary Ryoma,41,34,39,28,20
351,Jakob,39,29,31,25,24
352,Roderick,40,31,34,25,24
353,Conrad,40,31,22,34,35
354,Sothis,41,34,39,32,27
355,Fallen Dimitri,40,42,40,38,17
356,Legendary Robin (M),40,45,30,31,31
357,Flavia,41,40,41,36,23
358,Legendary Roy,39,34,38,32,26
359,Catherine,43,39,41,30,23
360,Summer Dimitri,40,42,40,35,17
361,Legendary Alm,40,37,37,26,22
362,Limstella,41,39,23,32,36
363,Ymir,38,40,26,35,34
