Rank,Title,HP,ATK,SPD,DEF,RES
0,Hector,52,36,24,37,19
1,Mordecai,47,37,24,39,20
2,Halloween Dorcas,49,41,25,37,21
3,Haar,45,37,25,36,18
4,Hinata,47,32,24,36,18
5,Travant,46,36,26,40,18
6,Altena,45,37,25,39,20
7,Keaton,45,41,24,38,19
8,Valbar,49,35,25,38,26
9,Picnic Lukas,51,37,21,42,22
10,Lukas,45,35,22,38,17
11,Gerome,45,38,25,34,19
12,Groom Hinata,47,37,27,40,21
13,Eldigan,45,32,24,34,19
14,Lex,45,36,30,38,19
15,Bartre,49,36,25,33,13
16,Xander,44,32,24,37,17
17,Flame Emperor,50,40,25,37,26
18,Masquerade Eldigan,43,38,26,37,18
19,Michalis,43,34,26,35,19
20,Chrom,47,37,25,31,17
21,Hector (LA),50,38,21,40,24
22,Ephraim,45,35,25,32,20
23,Clive,45,33,25,32,19
24,Effie,50,40,22,33,23
25,Dorcas,45,35,23,35,24
26,Pirate Darros,46,36,32,37,21
27,New Year Keaton,48,41,24,43,20
28,Brave Ike,43,36,28,35,20
29,Silas,40,35,24,36,21
30,Vyland,47,41,30,36,19
31,Soiree Berkut,41,36,23,37,24
32,Cherche,46,38,25,32,16
33,Legendary Ephraim,43,36,27,33,18
34,Seliph,47,34,24,30,22
35,Beruka,46,29,23,37,22
36,Frederick,43,35,25,36,14
37,Zephiel,55,35,16,38,24
38,Brave Ephraim,46,38,27,37,26
39,Caineghis,47,37,23,37,30
40,Zelgius,46,36,33,38,21
41,Fallen Robin (M),48,40,24,35,27
42,Brave Hector,48,37,22,39,28
43,Gunter,43,32,24,33,18
44,Legendary Hector,47,40,23,38,26
45,Alfonse,43,35,25,32,22
46,Gwendolyn,49,30,24,38,28
47,Bertram,45,37,27,38,26
48,Plegian Raphael,48,42,28,38,23
49,Black Knight,48,34,34,35,18
50,Draug,50,30,32,39,18
51,Walhart,41,37,27,36,16
52,Mustafa,45,38,25,36,28
53,Kjelle,47,40,22,37,28
54,Galle,46,38,22,38,28
55,Fallen Orson,43,38,28,36,23
56,Spring Bartre,46,40,26,35,25
57,Exalted Chrom,41,37,28,34,17
58,Dimitri,40,36,29,34,18
59,Laslow,44,35,26,30,22
60,Groom Zelot,41,37,25,39,25
61,Spring Narcian,43,35,34,37,18
62,Tiki (Adult),40,35,23,35,24
63,Legendary Ike,41,36,30,35,21
64,Spring Camilla,39,35,25,30,19
65,Spring Henry,41,37,27,40,23
66,Gordin,43,31,25,32,17
67,Jorge,45,36,27,35,29
68,Bantu,45,34,28,35,26
69,Edelgard,41,39,30,37,21
70,Winter Chrom,51,40,19,35,29
71,Halloween Hector,47,41,26,39,27
72,Ares,40,36,30,33,18
73,Basilio,48,43,33,36,21
74,Summer Xander,43,32,30,36,16
75,Shiro,41,35,30,35,22
76,Amelia,47,34,34,35,23
77,Fernand,45,41,26,32,23
78,Quan,44,37,29,31,16
79,Masquerade Quan,40,41,20,36,20
80,Luke,43,34,28,30,20
81,Pirate Tibarn,42,41,30,36,18
82,Balthus,47,42,24,37,31
83,Arden,60,36,16,41,16
84,Astram,44,35,36,36,21
85,Brave Alm,42,38,35,37,20
86,Valter,42,32,31,34,19
87,Ike,42,35,31,32,18
88,Spring Bruno,41,30,24,35,14
89,Valentine's Ike,45,37,38,35,19
90,Berkut,43,34,22,31,24
91,Shannan,43,38,36,37,18
92,Tibarn,41,38,31,34,18
93,Ross,47,38,31,32,24
94,Stahl,45,31,26,30,22
95,Legendary Sigurd,41,41,23,37,26
96,Donnel,43,35,29,32,23
97,Halloween Dozla,45,38,29,35,27
98,Valentine's Alfonse,43,38,25,37,31
99,Winter Ephraim,45,41,23,36,29
100,Halloween Myrrh,46,38,23,40,32
101,Gonzalez,50,42,35,33,21
102,Oboro,40,32,26,35,24
103,Linus,42,37,33,32,19
104,Sigurd,41,35,32,34,17
105,Tobin,46,31,27,33,26
106,Cormag,42,36,32,34,23
107,Nah,44,34,25,38,32
108,Boey,43,29,27,32,18
109,Pirate Geese,46,38,35,32,21
110,Duo Ephraim,41,39,30,37,25
111,Fallen Tiki (Young),45,36,34,37,28
112,Duma,48,40,21,34,31
113,Halloween Ena,44,36,23,37,36
114,New Year Hríd,42,38,19,36,27
115,Winter Robin,45,35,34,35,25
116,Barst,46,33,32,30,17
117,Young Minerva,40,36,37,35,19
118,Hríd,41,37,17,36,26
119,Myrrh,42,33,25,36,31
120,Fallen Ashnard,43,37,21,35,31
121,Laevatein,39,37,31,34,22
122,Roshea,41,38,35,38,21
123,New Year Kyza,45,39,26,41,30
124,Bridal Charlotte,46,36,32,24,19
125,Nowi,45,34,27,30,27
126,Flame Mordecai,48,43,29,43,24
127,Fallen Hardin,45,34,28,36,32
128,Idunn,45,35,26,39,34
129,Midori,41,41,30,34,21
130,Legendary Chrom,41,42,26,34,25
131,Spring Minerva,41,36,38,35,18
132,Valentine's Greil,47,41,18,38,30
133,Gerik,47,37,36,30,22
134,Spring Idunn,46,37,26,37,38
135,Spring Chrom,43,35,32,28,20
136,Benny,48,35,23,44,34
137,Summer Ogma,44,38,38,35,21
138,Hoshidan Summer Xander,38,35,17,34,16
139,Gray,43,35,32,30,22
140,Summer Helbindi,44,36,18,37,33
141,Alm,45,33,30,28,22
142,Nemesis,43,39,23,37,34
143,Helbindi,44,35,18,35,31
144,Reinhardt (WT),40,35,23,31,28
145,Halloween Jakob,42,35,23,33,32
146,Finn,40,34,33,32,18
147,Young Boyd,50,43,36,31,21
148,Mamori,43,37,24,42,33
149,Spring Alfonse,41,35,33,30,18
150,New Year Corrin (M),37,32,30,34,18
151,Death Knight,40,35,25,30,27
152,Surtr,50,39,17,40,33
153,Forsyth,47,40,20,39,33
154,Yarne,40,35,33,32,17
155,Winter Zephiel,48,38,19,38,36
156,Sheena,45,30,25,36,33
157,Halloween Kurthnaga,45,39,27,36,35
158,Brave Dimitri,41,40,36,40,19
159,Brave Eliwood,40,37,35,32,18
160,Byleth (M),40,36,38,34,20
161,Valentine's Rudolf,46,43,21,41,29
162,Laegjarn,41,32,36,36,17
163,Ninja Haar,44,42,24,44,28
164,Legendary Seliph,41,41,17,37,26
165,Arthur (Fates),43,32,29,30,24
166,Melady,41,40,33,41,17
167,Seteth,44,36,36,32,24
168,Legendary Tiki (Young),45,34,35,37,29
169,Fallen Gustav,40,41,25,38,30
170,Valentine's Líf,39,39,25,30,25
171,Bridal Oboro,42,39,35,40,16
172,Brigand Boss,45,42,35,35,24
173,Silque,39,33,23,35,31
174,Duo Palla,40,39,31,33,24
175,Camus,42,32,33,31,17
176,Cervantes,50,45,31,44,25
177,Líf,42,38,30,34,29
178,Garon,43,33,22,33,32
179,Kamui,44,38,41,36,22
180,Ogma,47,35,34,28,13
181,Sharena,43,32,32,29,22
182,Leon,39,34,30,30,15
183,Jamke,38,36,32,29,17
184,Legendary Leif,40,38,22,29,27
185,Eyvel,41,33,35,38,25
186,Ninja Heath,42,43,23,40,30
187,Legendary Eliwood,37,36,34,33,16
188,Winter Hilda (Three Houses),44,39,38,37,26
189,Pirate Lifis,47,36,40,30,23
190,Sirius (Unit),40,34,37,35,16
191,Scáthach,43,42,30,43,24
192,Hawkeye,45,33,22,28,30
193,Pirate Veronica,38,39,19,36,29
194,Valentine's Lissa,42,35,25,37,40
195,Sain,41,42,38,36,18
196,Eliwood (LA),47,38,32,29,29
197,Winter Eirika,42,36,23,30,34
198,Valentine's Chrom,40,44,27,40,26
199,Marisa,46,30,36,30,21
200,Adrift Corrin (M),42,35,35,31,24
201,Matthis,41,43,32,38,25
202,New Year Laegjarn,38,32,35,35,17
203,Summer Frederick,40,32,31,28,18
204,Julian,40,38,38,33,18
205,Fallen Berkut,40,35,17,35,30
206,Summer Tiki (Adult),35,36,30,32,24
207,Legion,46,36,35,22,18
208,Legendary Marth,40,34,36,32,21
209,Siegbert,41,34,35,31,16
210,Jeralt,41,43,26,39,30
211,Valentian Palla,41,42,21,41,28
212,New Year Alfonse,41,38,17,35,30
213,Henry,45,23,22,32,25
214,Heath,40,35,33,33,27
215,Narcian,42,29,29,32,26
216,Teatime Sigurd,40,46,31,35,16
217,Spring Myrrh,40,38,25,40,35
218,Jill,40,39,40,36,17
219,Dieck,40,40,35,36,25
220,Duessel,41,39,18,39,31
221,Seth,37,32,31,32,22
222,Plegian Kris,41,37,37,31,22
223,Rearmed Líf,41,43,29,41,26
224,Saber,40,31,33,32,22
225,Sonia,40,35,24,32,35
226,Caellach,45,40,27,31,33
227,Hans,46,45,39,35,21
228,Cain,42,32,32,27,21
229,Minerva,40,31,33,32,22
230,Summer Innes,42,33,37,30,20
231,Summer Caspar,46,41,36,30,23
232,Rinkah,40,34,39,41,18
233,Velouria,40,35,37,33,23
234,Valentine's Gustav,49,41,18,46,31
235,Pirate Brigid,41,37,40,30,19
236,Lucina,43,34,36,25,19
237,Robin (F),40,29,29,29,22
238,Osian,42,35,36,33,27
239,Reinhardt,38,32,23,27,25
240,Itsuki,41,37,30,33,32
241,Soiree Reinhardt,38,34,21,27,25
242,Valentine Faye,43,40,23,35,38
243,Nagi,46,37,19,36,41
244,Robin (M),40,29,29,29,22
245,Karel,47,30,35,25,20
246,Dedue,50,45,17,45,28
247,Sylvain,40,44,35,37,23
248,Bridal Tanith,37,34,36,33,21
249,Ayra,41,33,37,31,21
250,Halloween Kagero,41,38,21,32,33
251,Virion,46,31,31,26,13
252,Masked Marth,43,34,36,25,19
253,Winter Lissa,43,33,30,35,34
254,Corrin (F),41,27,34,34,21
255,Nephenee,37,31,35,34,20
256,Brave Lucina,41,34,36,27,19
257,Legendary Dimitri,40,41,41,37,18
258,Merric,43,26,32,28,19
259,Winter Jaffar,44,35,37,31,27
260,Winter Fae,45,35,26,33,41
261,Summer Ashe,40,37,41,32,18
262,Rearmed Alfred,40,45,25,43,27
263,Summer Ylgr,42,35,36,30,25
264,Petrine,42,35,37,30,24
265,Flame Múspell,40,43,26,41,30
266,Spring Xander,40,25,28,35,26
267,New Year Laevatein,33,36,30,27,18
268,Summer Leonie,41,36,39,27,19
269,Python,38,32,35,31,20
270,New Year Velouria,41,38,40,34,23
271,Young Marth,41,36,37,32,26
272,Hilda (Three Houses),43,37,37,28,23
273,Ash,41,39,27,41,34
274,Corrin (M),42,32,32,28,24
275,Summer Donnel,46,45,31,40,30
276,Byleth (F),40,34,40,33,21
277,Ryoma,41,34,35,27,21
278,Echidna,45,34,36,30,27
279,Fae,46,33,28,25,30
280,New Year Camilla,40,33,35,31,23
281,Limstella,41,39,23,32,36
282,Summer Laevatein,38,38,16,31,26
283,Groom Marth,40,31,36,30,20
284,Fallen Dimitri,40,42,40,38,17
285,Fallen Corrin (M),42,38,38,33,26
286,Owain,41,32,37,31,22
287,Brave Seliph,40,43,41,37,18
288,Valentine Silque,40,28,22,32,29
289,Azama,43,21,26,32,25
290,Hinoka,41,35,32,25,24
291,Ranulf,40,30,37,33,17
292,Flavia,41,40,41,36,23
293,Ymir,38,40,26,35,34
294,Winter Tharja,43,34,18,34,36
295,Winter Cecilia,41,35,23,30,36
296,Atlas (Unit),46,43,37,34,27
297,Brave Chrom,41,42,42,37,17
298,Fallen Corrin (F),43,35,37,31,27
299,Kiragi,40,38,43,37,23
300,Tiki (Young),41,31,30,32,29
301,Spring Marisa,42,33,38,28,21
302,Summer Dimitri,40,42,40,35,17
303,Summer Wolt,40,34,34,25,17
304,Legendary Ryoma,41,34,39,28,20
305,Guy,44,37,43,33,25
306,Takumi,40,32,33,25,18
307,Summer Sylvain,42,32,35,27,16
308,Summer Freyr,41,38,16,38,35
309,Hostile Springs Sakura,36,35,32,26,21
310,Hostile Springs Ryoma,40,35,36,28,23
311,Legendary Myrrh,40,39,25,42,36
312,Lyon,41,34,21,26,30
313,Ferdinand,41,32,35,30,24
314,Valentine Conrad,39,32,23,33,35
315,Winter Felix,44,38,37,32,29
316,Hatari Deen,43,36,39,27,23
317,Palla,42,31,31,28,26
318,Oscar,40,33,34,26,21
319,Conrad,40,31,22,34,35
320,Marth,41,31,34,29,23
321,Spring Michalis,43,45,32,47,17
322,Ninja Laevatein,41,42,18,37,34
323,Sothe,39,36,33,22,21
324,Spring Luthier,41,38,36,31,27
325,Lethe,41,33,38,26,19
326,New Year Yarne,40,43,40,35,21
327,Nailah,40,31,37,32,23
328,Halloween L'Arachel,39,36,34,22,20
329,Kent,42,37,40,30,24
330,Sophia,40,33,19,28,29
331,Legendary Xander,40,42,41,35,17
332,Askr,40,43,26,43,31
333,Subaki,40,25,35,35,22
334,Legendary Edelgard,45,42,17,39,36
335,Hel,40,38,41,30,18
336,Kempf,42,33,33,27,26
337,Raven,41,34,35,25,22
338,Summer Lyon,42,42,21,37,39
339,Halloween Ilyana,41,38,23,30,37
340,Bridal Sophia,38,40,19,36,34
341,Summer Cordelia,41,32,38,28,18
342,Ludveck,46,44,32,45,28
343,Murdock,47,45,23,45,35
344,Kana (F),40,30,34,33,26
345,Valentine's Owain,41,38,42,31,21
346,Brave Gatekeeper,41,37,17,40,36
347,Panne,41,29,34,30,23
348,Vigarde,46,47,30,44,29
349,Larcei,41,36,40,30,25
350,Summer Tiki (Young),40,33,37,32,26
351,Libra,40,35,32,28,29
352,Picnic Flora,43,38,22,29,38
353,Summer Lorenz,45,32,31,25,29
354,Ninja Corrin (M),41,40,38,35,28
355,Picnic Leo,37,33,21,27,28
356,Winter Altina,42,40,18,37,39
357,Catherine,43,39,41,30,23
358,Nils,45,31,35,26,25
359,Winter Marth,42,36,41,30,25
360,Rutger,44,32,39,29,24
361,Summer Takumi,40,35,35,21,19
