Rank,Title,HP,ATK,SPD,DEF,RES
0,Hector,52,36,24,37,19
1,Mordecai,47,37,24,39,20
2,Hinata,47,32,24,36,18
3,Haar,45,37,25,36,18
4,Halloween Dorcas,49,41,25,37,21
5,Travant,46,36,26,40,18
6,Altena,45,37,25,39,20
7,Gerome,45,38,25,34,19
8,Valbar,49,35,25,38,26
9,Lukas,45,35,22,38,17
10,Picnic Lukas,51,37,21,42,22
11,Keaton,45,41,24,38,19
12,Groom Hinata,47,37,27,40,21
13,Lex,45,36,30,38,19
14,Flame Emperor,50,40,25,37,26
15,Masquerade Eldigan,43,38,26,37,18
16,Bartre,49,36,25,33,13
17,Eldigan,45,32,24,34,19
18,Xander,44,32,24,37,17
19,Ephraim,45,35,25,32,20
20,Hector (LA),50,38,21,40,24
21,Michalis,43,34,26,35,19
22,Chrom,47,37,25,31,17
23,New Year Keaton,48,41,24,43,20
24,Silas,40,35,24,36,21
25,Brave Ike,43,36,28,35,20
26,Effie,50,40,22,33,23
27,Dorcas,45,35,23,35,24
28,Clive,45,33,25,32,19
29,Pirate Darros,46,36,32,37,21
30,Soiree Berkut,41,36,23,37,24
31,Seliph,47,34,24,30,22
32,Legendary Ephraim,43,36,27,33,18
33,Cherche,46,38,25,32,16
34,Vyland,47,41,30,36,19
35,Frederick,43,35,25,36,14
36,Beruka,46,29,23,37,22
37,Gunter,43,32,24,33,18
38,Brave Hector,48,37,22,39,28
39,Caineghis,47,37,23,37,30
40,Brave Ephraim,46,38,27,37,26
41,Zephiel,55,35,16,38,24
42,Legendary Hector,47,40,23,38,26
43,Zelgius,46,36,33,38,21
44,Fallen Robin (M),48,40,24,35,27
45,Bertram,45,37,27,38,26
46,Black Knight,48,34,34,35,18
47,Gwendolyn,49,30,24,38,28
48,Plegian Raphael,48,42,28,38,23
49,Draug,50,30,32,39,18
50,Alfonse,43,35,25,32,22
51,Walhart,41,37,27,36,16
52,Kjelle,47,40,22,37,28
53,Mustafa,45,38,25,36,28
54,Spring Bartre,46,40,26,35,25
55,Fallen Orson,43,38,28,36,23
56,Galle,46,38,22,38,28
57,Legendary Ike,41,36,30,35,21
58,Exalted Chrom,41,37,28,34,17
59,Tiki (Adult),40,35,23,35,24
60,Dimitri,40,36,29,34,18
61,Spring Narcian,43,35,34,37,18
62,Groom Zelot,41,37,25,39,25
63,Laslow,44,35,26,30,22
64,Gordin,43,31,25,32,17
65,Winter Chrom,51,40,19,35,29
66,Spring Henry,41,37,27,40,23
67,Halloween Hector,47,41,26,39,27
68,Jorge,45,36,27,35,29
69,Spring Camilla,39,35,25,30,19
70,Bantu,45,34,28,35,26
71,Edelgard,41,39,30,37,21
72,Balthus,47,42,24,37,31
73,Arden,60,36,16,41,16
74,Basilio,48,43,33,36,21
75,Masquerade Quan,40,41,20,36,20
76,Luke,43,34,28,30,20
77,Amelia,47,34,34,35,23
78,Summer Xander,43,32,30,36,16
79,Quan,44,37,29,31,16
80,Fernand,45,41,26,32,23
81,Shiro,41,35,30,35,22
82,Pirate Tibarn,42,41,30,36,18
83,Ares,40,36,30,33,18
84,Donnel,43,35,29,32,23
85,Legendary Sigurd,41,41,23,37,26
86,Valentine's Ike,45,37,38,35,19
87,Ross,47,38,31,32,24
88,Spring Bruno,41,30,24,35,14
89,Ike,42,35,31,32,18
90,Berkut,43,34,22,31,24
91,Tibarn,41,38,31,34,18
92,Valter,42,32,31,34,19
93,Stahl,45,31,26,30,22
94,Shannan,43,38,36,37,18
95,Halloween Dozla,45,38,29,35,27
96,Brave Alm,42,38,35,37,20
97,Winter Ephraim,45,41,23,36,29
98,Valentine's Alfonse,43,38,25,37,31
99,Astram,44,35,36,36,21
100,Cormag,42,36,32,34,23
101,Oboro,40,32,26,35,24
102,Gonzalez,50,42,35,33,21
103,Halloween Myrrh,46,38,23,40,32
104,Boey,43,29,27,32,18
105,Linus,42,37,33,32,19
106,Nah,44,34,25,38,32
107,Sigurd,41,35,32,34,17
108,Tobin,46,31,27,33,26
109,Halloween Ena,44,36,23,37,36
110,Winter Robin,45,35,34,35,25
111,Barst,46,33,32,30,17
112,Duo Ephraim,41,39,30,37,25
113,New Year Hríd,42,38,19,36,27
114,Duma,48,40,21,34,31
115,Pirate Geese,46,38,35,32,21
116,Fallen Tiki (Young),45,36,34,37,28
117,Nowi,45,34,27,30,27
118,Fallen Hardin,45,34,28,36,32
119,Fallen Ashnard,43,37,21,35,31
120,Roshea,41,38,35,38,21
121,Flame Mordecai,48,43,29,43,24
122,Laevatein,39,37,31,34,22
123,Young Minerva,40,36,37,35,19
124,Idunn,45,35,26,39,34
125,Bridal Charlotte,46,36,32,24,19
126,New Year Kyza,45,39,26,41,30
127,Midori,41,41,30,34,21
128,Myrrh,42,33,25,36,31
129,Hríd,41,37,17,36,26
130,Legendary Chrom,41,42,26,34,25
131,Spring Idunn,46,37,26,37,38
132,Gray,43,35,32,30,22
133,Spring Minerva,41,36,38,35,18
134,Valentine's Greil,47,41,18,38,30
135,Benny,48,35,23,44,34
136,Summer Helbindi,44,36,18,37,33
137,Hoshidan Summer Xander,38,35,17,34,16
138,Spring Chrom,43,35,32,28,20
139,Alm,45,33,30,28,22
140,Gerik,47,37,36,30,22
141,Summer Ogma,44,38,38,35,21
142,Nemesis,43,39,23,37,34
143,Finn,40,34,33,32,18
144,Reinhardt (WT),40,35,23,31,28
145,Death Knight,40,35,25,30,27
146,Winter Zephiel,48,38,19,38,36
147,Spring Alfonse,41,35,33,30,18
148,New Year Corrin (M),37,32,30,34,18
149,Forsyth,47,40,20,39,33
150,Young Boyd,50,43,36,31,21
151,Halloween Jakob,42,35,23,33,32
152,Sheena,45,30,25,36,33
153,Surtr,50,39,17,40,33
154,Mamori,43,37,24,42,33
155,Helbindi,44,35,18,35,31
156,Yarne,40,35,33,32,17
157,Arthur (Fates),43,32,29,30,24
158,Halloween Kurthnaga,45,39,27,36,35
159,Bridal Oboro,42,39,35,40,16
160,Laegjarn,41,32,36,36,17
161,Legendary Seliph,41,41,17,37,26
162,Melady,41,40,33,41,17
163,Legendary Tiki (Young),45,34,35,37,29
164,Seteth,44,36,36,32,24
165,Brave Eliwood,40,37,35,32,18
166,Valentine's Rudolf,46,43,21,41,29
167,Fallen Gustav,40,41,25,38,30
168,Valentine's Líf,39,39,25,30,25
169,Brave Dimitri,41,40,36,40,19
170,Byleth (M),40,36,38,34,20
171,Ninja Haar,44,42,24,44,28
172,Silque,39,33,23,35,31
173,Ogma,47,35,34,28,13
174,Camus,42,32,33,31,17
175,Garon,43,33,22,33,32
176,Brigand Boss,45,42,35,35,24
177,Kamui,44,38,41,36,22
178,Líf,42,38,30,34,29
179,Duo Palla,40,39,31,33,24
180,Cervantes,50,45,31,44,25
181,Sirius (Unit),40,34,37,35,16
182,Jamke,38,36,32,29,17
183,Winter Hilda (Three Houses),44,39,38,37,26
184,Sharena,43,32,32,29,22
185,Eyvel,41,33,35,38,25
186,Hawkeye,45,33,22,28,30
187,Scáthach,43,42,30,43,24
188,Legendary Eliwood,37,36,34,33,16
189,Legendary Leif,40,38,22,29,27
190,Ninja Heath,42,43,23,40,30
191,Leon,39,34,30,30,15
192,Pirate Lifis,47,36,40,30,23
193,Legendary Marth,40,34,36,32,21
194,Matthis,41,43,32,38,25
195,Jeralt,41,43,26,39,30
196,Julian,40,38,38,33,18
197,Summer Tiki (Adult),35,36,30,32,24
198,Summer Frederick,40,32,31,28,18
199,Sain,41,42,38,36,18
200,Eliwood (LA),47,38,32,29,29
201,Henry,45,23,22,32,25
202,Adrift Corrin (M),42,35,35,31,24
203,Legion,46,36,35,22,18
204,Fallen Berkut,40,35,17,35,30
205,New Year Laegjarn,38,32,35,35,17
206,New Year Alfonse,41,38,17,35,30
207,Siegbert,41,34,35,31,16
208,Winter Eirika,42,36,23,30,34
209,Valentine's Lissa,42,35,25,37,40
210,Marisa,46,30,36,30,21
211,Pirate Veronica,38,39,19,36,29
212,Valentine's Chrom,40,44,27,40,26
213,Valentian Palla,41,42,21,41,28
214,Spring Myrrh,40,38,25,40,35
215,Duessel,41,39,18,39,31
216,Rearmed Líf,41,43,29,41,26
217,Cain,42,32,32,27,21
218,Plegian Kris,41,37,37,31,22
219,Caellach,45,40,27,31,33
220,Heath,40,35,33,33,27
221,Sonia,40,35,24,32,35
222,Velouria,40,35,37,33,23
223,Hans,46,45,39,35,21
224,Minerva,40,31,33,32,22
225,Summer Caspar,46,41,36,30,23
226,Saber,40,31,33,32,22
227,Dieck,40,40,35,36,25
228,Rinkah,40,34,39,41,18
229,Summer Innes,42,33,37,30,20
230,Narcian,42,29,29,32,26
231,Seth,37,32,31,32,22
232,Teatime Sigurd,40,46,31,35,16
233,Jill,40,39,40,36,17
234,Lucina,43,34,36,25,19
235,Ayra,41,33,37,31,21
236,Corrin (F),41,27,34,34,21
237,Soiree Reinhardt,38,34,21,27,25
238,Legendary Dimitri,40,41,41,37,18
239,Robin (M),40,29,29,29,22
240,Pirate Brigid,41,37,40,30,19
241,Valentine Faye,43,40,23,35,38
242,Karel,47,30,35,25,20
243,Sylvain,40,44,35,37,23
244,Nephenee,37,31,35,34,20
245,Robin (F),40,29,29,29,22
246,Reinhardt,38,32,23,27,25
247,Itsuki,41,37,30,33,32
248,Bridal Tanith,37,34,36,33,21
249,Virion,46,31,31,26,13
250,Nagi,46,37,19,36,41
251,Winter Lissa,43,33,30,35,34
252,Dedue,50,45,17,45,28
253,Halloween Kagero,41,38,21,32,33
254,Masked Marth,43,34,36,25,19
255,Valentine's Gustav,49,41,18,46,31
256,Brave Lucina,41,34,36,27,19
257,Osian,42,35,36,33,27
258,Winter Fae,45,35,26,33,41
259,Spring Xander,40,25,28,35,26
260,Young Marth,41,36,37,32,26
261,New Year Laevatein,33,36,30,27,18
262,Summer Ashe,40,37,41,32,18
263,Rearmed Alfred,40,45,25,43,27
264,Ash,41,39,27,41,34
265,New Year Camilla,40,33,35,31,23
266,Flame Múspell,40,43,26,41,30
267,Merric,43,26,32,28,19
268,Winter Jaffar,44,35,37,31,27
269,Summer Ylgr,42,35,36,30,25
270,Ryoma,41,34,35,27,21
271,Petrine,42,35,37,30,24
272,Python,38,32,35,31,20
273,Summer Leonie,41,36,39,27,19
274,Corrin (M),42,32,32,28,24
275,Fae,46,33,28,25,30
276,Summer Donnel,46,45,31,40,30
277,New Year Velouria,41,38,40,34,23
278,Echidna,45,34,36,30,27
279,Hilda (Three Houses),43,37,37,28,23
280,Byleth (F),40,34,40,33,21
281,Fallen Dimitri,40,42,40,38,17
282,Brave Seliph,40,43,41,37,18
283,Winter Tharja,43,34,18,34,36
284,Atlas (Unit),46,43,37,34,27
285,Limstella,41,39,23,32,36
286,Ranulf,40,30,37,33,17
287,Winter Cecilia,41,35,23,30,36
288,Brave Chrom,41,42,42,37,17
289,Fallen Corrin (M),42,38,38,33,26
290,Ymir,38,40,26,35,34
291,Tiki (Young),41,31,30,32,29
292,Kiragi,40,38,43,37,23
293,Summer Laevatein,38,38,16,31,26
294,Azama,43,21,26,32,25
295,Hinoka,41,35,32,25,24
296,Valentine Silque,40,28,22,32,29
297,Groom Marth,40,31,36,30,20
298,Fallen Corrin (F),43,35,37,31,27
299,Flavia,41,40,41,36,23
300,Owain,41,32,37,31,22
301,Guy,44,37,43,33,25
302,Palla,42,31,31,28,26
303,Valentine Conrad,39,32,23,33,35
304,Ferdinand,41,32,35,30,24
305,Legendary Myrrh,40,39,25,42,36
306,Ninja Laevatein,41,42,18,37,34
307,Hostile Springs Ryoma,40,35,36,28,23
308,Takumi,40,32,33,25,18
309,Summer Wolt,40,34,34,25,17
310,Hatari Deen,43,36,39,27,23
311,Spring Marisa,42,33,38,28,21
312,Summer Sylvain,42,32,35,27,16
313,Summer Dimitri,40,42,40,35,17
314,Marth,41,31,34,29,23
315,Oscar,40,33,34,26,21
316,Legendary Ryoma,41,34,39,28,20
317,Lyon,41,34,21,26,30
318,Summer Freyr,41,38,16,38,35
319,Winter Felix,44,38,37,32,29
320,Spring Michalis,43,45,32,47,17
321,Hostile Springs Sakura,36,35,32,26,21
322,Conrad,40,31,22,34,35
323,Raven,41,34,35,25,22
324,Panne,41,29,34,30,23
325,Halloween Ilyana,41,38,23,30,37
326,Lethe,41,33,38,26,19
327,Hel,40,38,41,30,18
328,Brave Gatekeeper,41,37,17,40,36
329,Kempf,42,33,33,27,26
330,Ludveck,46,44,32,45,28
331,Summer Lyon,42,42,21,37,39
332,Halloween L'Arachel,39,36,34,22,20
333,Nailah,40,31,37,32,23
334,New Year Yarne,40,43,40,35,21
335,Askr,40,43,26,43,31
336,Summer Cordelia,41,32,38,28,18
337,Spring Luthier,41,38,36,31,27
338,Legendary Edelgard,45,42,17,39,36
339,Murdock,47,45,23,45,35
340,Sothe,39,36,33,22,21
341,Kana (F),40,30,34,33,26
342,Valentine's Owain,41,38,42,31,21
343,Sophia,40,33,19,28,29
344,Subaki,40,25,35,35,22
345,Legendary Xander,40,42,41,35,17
346,Kent,42,37,40,30,24
347,Bridal Sophia,38,40,19,36,34
348,Valentian Catria,41,38,36,27,24
349,New Year Lethe,41,35,41,27,18
350,Libra,40,35,32,28,29
351,Fallen Ike,40,35,42,32,23
352,Legendary Robin (F),40,32,35,30,25
353,Summer Takumi,40,35,35,21,19
354,Vigarde,46,47,30,44,29
355,Ninja Corrin (M),41,40,38,35,28
356,Igrene,42,37,37,26,24
357,Picnic Leo,37,33,21,27,28
358,Saizo,36,29,34,33,16
359,Catherine,43,39,41,30,23
360,Ascended Laegjarn,40,39,41,30,18
361,Nils,45,31,35,26,25
