Rank,Title,HP,ATK,SPD,DEF,RES
0,Tiki (Adult),40,35,23,35,24
1,Soiree Berkut,41,36,23,37,24
2,Halloween Hector,47,41,26,39,27
3,Bertram,45,37,27,38,26
4,Groom Zelot,41,37,25,39,25
5,New Year Kyza,45,39,26,41,30
6,Brave Ephraim,46,38,27,37,26
7,Mustafa,45,38,25,36,28
8,Silas,40,35,24,36,21
9,Legendary Hector,47,40,23,38,26
10,Galle,46,38,22,38,28
11,Dorcas,45,35,23,35,24
12,Legendary Sigurd,41,41,23,37,26
13,Spring Bartre,46,40,26,35,25
14,Oboro,40,32,26,35,24
15,Fallen Orson,43,38,28,36,23
16,Vigarde,46,47,30,44,29
17,Flame Mordecai,48,43,29,43,24
18,Ninja Haar,44,42,24,44,28
19,Summer Donnel,46,45,31,40,30
20,Spring Henry,41,37,27,40,23
21,Ludveck,46,44,32,45,28
22,Cervantes,50,45,31,44,25
23,Winter Ephraim,45,41,23,36,29
24,Valentine's Alfonse,43,38,25,37,31
25,Kjelle,47,40,22,37,28
26,Halloween Dozla,45,38,29,35,27
27,Halloween Kellam,48,46,31,48,27
28,Flame Emperor,50,40,25,37,26
29,Jorge,45,36,27,35,29
30,Balthus,47,42,24,37,31
31,Brave Hector,48,37,22,39,28
32,Fallen Robin (M),48,40,24,35,27
33,Caineghis,47,37,23,37,30
34,Alfonse,43,35,25,32,22
35,Berkut,43,34,22,31,24
36,Plegian Raphael,48,42,28,38,23
37,Halloween Myrrh,46,38,23,40,32
38,New Year Hríd,42,38,19,36,27
39,Duo Ephraim,41,39,30,37,25
40,Fallen Gustav,40,41,25,38,30
41,Valentine's Rudolf,46,43,21,41,29
42,Jeralt,41,43,26,39,30
43,Bantu,45,34,28,35,26
44,Valbar,49,35,25,38,26
45,Ninja Heath,42,43,23,40,30
46,Rearmed Líf,41,43,29,41,26
47,Reinhardt (WT),40,35,23,31,28
48,Legendary Chrom,41,42,26,34,25
49,Scáthach,43,42,30,43,24
50,Altena,45,37,25,39,20
51,Groom Hinata,47,37,27,40,21
52,Flame Múspell,40,43,26,41,30
53,Death Knight,40,35,25,30,27
54,Valentine's Chrom,40,44,27,40,26
55,Valentian Palla,41,42,21,41,28
56,Fallen Ashnard,43,37,21,35,31
57,Brave Ike,43,36,28,35,20
58,Michalis,43,34,26,35,19
59,Nah,44,34,25,38,32
60,Spring Camilla,39,35,25,30,19
61,Mamori,43,37,24,42,33
62,Líf,42,38,30,34,29
63,Myrrh,42,33,25,36,31
64,Hríd,41,37,17,36,26
65,Mordecai,47,37,24,39,20
66,Wind Tribe Fuga,42,46,30,45,30
67,Murdock,47,45,23,45,35
68,Shiro,41,35,30,35,22
69,Valentine's Líf,39,39,25,30,25
70,Askr,40,43,26,43,31
71,Hector (LA),50,38,21,40,24
72,Soiree Reinhardt,38,34,21,27,25
73,Reinhardt,38,32,23,27,25
74,Halloween Dorcas,49,41,25,37,21
75,Donnel,43,35,29,32,23
76,Fernand,45,41,26,32,23
77,Edelgard,41,39,30,37,21
78,Legendary Ike,41,36,30,35,21
79,Silque,39,33,23,35,31
80,Rearmed Alfred,40,45,25,43,27
81,Ash,41,39,27,41,34
82,Gerome,45,38,25,34,19
83,Ephraim,45,35,25,32,20
84,Masquerade Eldigan,43,38,26,37,18
85,Keaton,45,41,24,38,19
86,Nemesis,43,39,23,37,34
87,Laslow,44,35,26,30,22
88,Idunn,45,35,26,39,34
89,Fallen Hardin,45,34,28,36,32
90,Legendary Leif,40,38,22,29,27
91,Forsyth,47,40,20,39,33
92,Pirate Veronica,38,39,19,36,29
93,Gunter,43,32,24,33,18
94,Haar,45,37,25,36,18
95,Matthis,41,43,32,38,25
96,Halloween Kurthnaga,45,39,27,36,35
97,New Year Keaton,48,41,24,43,20
98,Masquerade Quan,40,41,20,36,20
99,Halloween Jakob,42,35,23,33,32
100,Eldigan,45,32,24,34,19
101,Duma,48,40,21,34,31
102,Ascended Idunn,45,43,26,43,38
103,Valentine's Greil,47,41,18,38,30
104,Legendary Seliph,41,41,17,37,26
105,Duo Palla,40,39,31,33,24
106,Legendary Ephraim,43,36,27,33,18
107,Tobin,46,31,27,33,26
108,Fallen Tiki (Young),45,36,34,37,28
109,Laevatein,39,37,31,34,22
110,Nowi,45,34,27,30,27
111,Cormag,42,36,32,34,23
112,Clive,45,33,25,32,19
113,Travant,46,36,26,40,18
114,Duessel,41,39,18,39,31
115,Midori,41,41,30,34,21
116,Lex,45,36,30,38,19
117,Ninja Cherche,43,44,20,44,32
118,Benny,48,35,23,44,34
119,Fallen Berkut,40,35,17,35,30
120,Gilliam,47,44,21,48,35
121,Pirate Darros,46,36,32,37,21
122,New Year Alfonse,41,38,17,35,30
123,Garon,43,33,22,33,32
124,Spring Myrrh,40,38,25,40,35
125,Dimitri,40,36,29,34,18
126,Picnic Leo,37,33,21,27,28
127,Helbindi,44,35,18,35,31
128,Ross,47,38,31,32,24
129,Effie,50,40,22,33,23
130,Picnic Lukas,51,37,21,42,22
131,Luke,43,34,28,30,20
132,Beruka,46,29,23,37,22
133,Lukas,45,35,22,38,17
134,Seliph,47,34,24,30,22
135,Summer Laevatein,38,38,16,31,26
136,Valentine Silque,40,28,22,32,29
137,Exalted Chrom,41,37,28,34,17
138,Vyland,47,41,30,36,19
139,Itsuki,41,37,30,33,32
140,Xander,44,32,24,37,17
