Rank,Title,HP,ATK,SPD,DEF,RES
0,Tiki (Adult),40,35,23,35,24
1,Soiree Berkut,41,36,23,37,24
2,Halloween Hector,47,41,26,39,27
3,Bertram,45,37,27,38,26
4,Groom Zelot,41,37,25,39,25
5,New Year Kyza,45,39,26,41,30
6,Brave Ephraim,46,38,27,37,26
7,Mustafa,45,38,25,36,28
8,Silas,40,35,24,36,21
9,Legendary Hector,47,40,23,38,26
10,Galle,46,38,22,38,28
11,Dorcas,45,35,23,35,24
12,Legendary Sigurd,41,41,23,37,26
13,Spring Bartre,46,40,26,35,25
14,Oboro,40,32,26,35,24
15,Fallen Orson,43,38,28,36,23
16,Vigarde,46,47,30,44,29
17,Flame Mordecai,48,43,29,43,24
18,Ninja Haar,44,42,24,44,28
19,Summer Donnel,46,45,31,40,30
20,Spring Henry,41,37,27,40,23
21,Ludveck,46,44,32,45,28
22,Cervantes,50,45,31,44,25
23,Winter Ephraim,45,41,23,36,29
24,Valentine's Alfonse,43,38,25,37,31
25,Kjelle,47,40,22,37,28
26,Halloween Dozla,45,38,29,35,27
27,Halloween Kellam,48,46,31,48,27
28,Flame Emperor,50,40,25,37,26
29,Jorge,45,36,27,35,29
30,Balthus,47,42,24,37,31
31,Brave Hector,48,37,22,39,28
32,Fallen Robin (M),48,40,24,35,27
33,Caineghis,47,37,23,37,30
34,Alfonse,43,35,25,32,22
35,Berkut,43,34,22,31,24
36,Plegian Raphael,48,42,28,38,23
37,Halloween Myrrh,46,38,23,40,32
38,New Year Hríd,42,38,19,36,27
39,Duo Ephraim,41,39,30,37,25
40,Fallen Gustav,40,41,25,38,30
41,Valentine's Rudolf,46,43,21,41,29
42,Jeralt,41,43,26,39,30
43,Bantu,45,34,28,35,26
44,Valbar,49,35,25,38,26
45,Ninja Heath,42,43,23,40,30
46,Rearmed Líf,41,43,29,41,26
47,Reinhardt (WT),40,35,23,31,28
48,Legendary Chrom,41,42,26,34,25
49,Scáthach,43,42,30,43,24
50,Altena,45,37,25,39,20
51,Veronica,41,35,22,29,21
52,Groom Hinata,47,37,27,40,21
53,Flame Múspell,40,43,26,41,30
54,Death Knight,40,35,25,30,27
55,Valentine's Chrom,40,44,27,40,26
56,Valentian Palla,41,42,21,41,28
57,Fallen Ashnard,43,37,21,35,31
58,Brave Ike,43,36,28,35,20
59,Michalis,43,34,26,35,19
60,Nah,44,34,25,38,32
61,Spring Camilla,39,35,25,30,19
62,Mamori,43,37,24,42,33
63,Líf,42,38,30,34,29
64,Myrrh,42,33,25,36,31
65,Hríd,41,37,17,36,26
66,Mordecai,47,37,24,39,20
67,Wind Tribe Fuga,42,46,30,45,30
68,Murdock,47,45,23,45,35
69,Shiro,41,35,30,35,22
70,Valentine's Líf,39,39,25,30,25
71,Askr,40,43,26,43,31
72,Hector (LA),50,38,21,40,24
73,Soiree Reinhardt,38,34,21,27,25
74,Reinhardt,38,32,23,27,25
75,Halloween Dorcas,49,41,25,37,21
76,Donnel,43,35,29,32,23
77,Fernand,45,41,26,32,23
78,Edelgard,41,39,30,37,21
79,Legendary Ike,41,36,30,35,21
80,Silque,39,33,23,35,31
81,Rearmed Alfred,40,45,25,43,27
82,Ash,41,39,27,41,34
83,Gerome,45,38,25,34,19
84,Ephraim,45,35,25,32,20
85,Masquerade Eldigan,43,38,26,37,18
86,Keaton,45,41,24,38,19
87,Nemesis,43,39,23,37,34
88,Laslow,44,35,26,30,22
89,Idunn,45,35,26,39,34
90,Fallen Hardin,45,34,28,36,32
91,Legendary Leif,40,38,22,29,27
92,Forsyth,47,40,20,39,33
93,Pirate Veronica,38,39,19,36,29
94,Gunter,43,32,24,33,18
95,Haar,45,37,25,36,18
96,Matthis,41,43,32,38,25
97,Halloween Kurthnaga,45,39,27,36,35
98,New Year Keaton,48,41,24,43,20
99,Masquerade Quan,40,41,20,36,20
100,Halloween Jakob,42,35,23,33,32
101,Eldigan,45,32,24,34,19
102,Duma,48,40,21,34,31
103,Ascended Idunn,45,43,26,43,38
104,Valentine's Greil,47,41,18,38,30
105,Legendary Seliph,41,41,17,37,26
106,Duo Palla,40,39,31,33,24
107,Legendary Ephraim,43,36,27,33,18
108,Tobin,46,31,27,33,26
109,Fallen Tiki (Young),45,36,34,37,28
110,Laevatein,39,37,31,34,22
111,Nowi,45,34,27,30,27
112,Cormag,42,36,32,34,23
113,Clive,45,33,25,32,19
114,Travant,46,36,26,40,18
115,Duessel,41,39,18,39,31
116,Midori,41,41,30,34,21
117,Lex,45,36,30,38,19
118,Ninja Cherche,43,44,20,44,32
119,Benny,48,35,23,44,34
120,Fallen Berkut,40,35,17,35,30
121,Gilliam,47,44,21,48,35
122,Pirate Darros,46,36,32,37,21
123,New Year Alfonse,41,38,17,35,30
124,Garon,43,33,22,33,32
125,Spring Myrrh,40,38,25,40,35
126,Dimitri,40,36,29,34,18
127,Picnic Leo,37,33,21,27,28
128,Helbindi,44,35,18,35,31
129,Ross,47,38,31,32,24
130,Effie,50,40,22,33,23
131,Picnic Lukas,51,37,21,42,22
132,Luke,43,34,28,30,20
133,Beruka,46,29,23,37,22
134,Lukas,45,35,22,38,17
135,Seliph,47,34,24,30,22
136,Summer Laevatein,38,38,16,31,26
137,Valentine Silque,40,28,22,32,29
138,Exalted Chrom,41,37,28,34,17
139,Vyland,47,41,30,36,19
140,Itsuki,41,37,30,33,32
