Rank,Title,HP,ATK,SPD,DEF,RES
0,Tiki (Adult),40,35,23,35,24
1,Soiree Berkut,41,36,23,37,24
2,Silas,40,35,24,36,21
3,Oboro,40,32,26,35,24
4,Dorcas,45,35,23,35,24
5,Alfonse,43,35,25,32,22
6,Groom Zelot,41,37,25,39,25
7,Berkut,43,34,22,31,24
8,Reinhardt (WT),40,35,23,31,28
9,Death Knight,40,35,25,30,27
10,New Year Hríd,42,38,19,36,27
11,Michalis,43,34,26,35,19
12,Fallen Orson,43,38,28,36,23
13,Legendary Sigurd,41,41,23,37,26
14,Hríd,41,37,17,36,26
15,Valentine's Líf,39,39,25,30,25
16,Spring Henry,41,37,27,40,23
17,Brave Ike,43,36,28,35,20
18,Laslow,44,35,26,30,22
19,Ephraim,45,35,25,32,20
20,Silque,39,33,23,35,31
21,Shiro,41,35,30,35,22
22,Legendary Leif,40,38,22,29,27
23,Bantu,45,34,28,35,26
24,Mustafa,45,38,25,36,28
25,Spring Camilla,39,35,25,30,19
26,Donnel,43,35,29,32,23
27,Bertram,45,37,27,38,26
28,Gunter,43,32,24,33,18
29,Legendary Ike,41,36,30,35,21
30,Eldigan,45,32,24,34,19
31,Legendary Chrom,41,42,26,34,25
32,Pirate Veronica,38,39,19,36,29
33,Masquerade Quan,40,41,20,36,20
34,Myrrh,42,33,25,36,31
35,Gerome,45,38,25,34,19
36,Altena,45,37,25,39,20
37,Fallen Ashnard,43,37,21,35,31
38,Legendary Ephraim,43,36,27,33,18
39,Jorge,45,36,27,35,29
40,Clive,45,33,25,32,19
41,Masquerade Eldigan,43,38,26,37,18
42,Brave Ephraim,46,38,27,37,26
43,Haar,45,37,25,36,18
44,Galle,46,38,22,38,28
45,Spring Bartre,46,40,26,35,25
46,Duo Ephraim,41,39,30,37,25
47,Fallen Berkut,40,35,17,35,30
48,Halloween Jakob,42,35,23,33,32
49,Laevatein,39,37,31,34,22
50,Soiree Reinhardt,38,34,21,27,25
51,Dimitri,40,36,29,34,18
52,Valentine's Alfonse,43,38,25,37,31
53,Tobin,46,31,27,33,26
54,Nowi,45,34,27,30,27
55,Luke,43,34,28,30,20
56,Reinhardt,38,32,23,27,25
57,Xander,44,32,24,37,17
58,Stahl,45,31,26,30,22
59,Halloween Dozla,45,38,29,35,27
60,Edelgard,41,39,30,37,21
61,Arthur (Fates),43,32,29,30,24
62,Fernand,45,41,26,32,23
63,Seliph,47,34,24,30,22
64,Beruka,46,29,23,37,22
65,Exalted Chrom,41,37,28,34,17
66,Legendary Seliph,41,41,17,37,26
67,Summer Laevatein,38,38,16,31,26
68,Garon,43,33,22,33,32
69,New Year Alfonse,41,38,17,35,30
70,Valentine Silque,40,28,22,32,29
71,Lukas,45,35,22,38,17
72,Summer Tiki (Adult),35,36,30,32,24
73,Duo Palla,40,39,31,33,24
74,Fallen Gustav,40,41,25,38,30
75,Walhart,41,37,27,36,16
76,Mordecai,47,37,24,39,20
77,Gordin,43,31,25,32,17
78,Winter Ephraim,45,41,23,36,29
79,Legendary Hector,47,40,23,38,26
80,Cormag,42,36,32,34,23
81,Líf,42,38,30,34,29
82,Narcian,42,29,29,32,26
83,Helbindi,44,35,18,35,31
84,Ares,40,36,30,33,18
85,Caineghis,47,37,23,37,30
86,Sophia,40,33,19,28,29
87,Nah,44,34,25,38,32
88,Seth,37,32,31,32,22
89,Kjelle,47,40,22,37,28
90,Midori,41,41,30,34,21
91,Keaton,45,41,24,38,19
92,Hinata,47,32,24,36,18
93,Picnic Leo,37,33,21,27,28
94,Valbar,49,35,25,38,26
95,Fallen Robin (M),48,40,24,35,27
96,Tiki (Young),41,31,30,32,29
97,Brave Hector,48,37,22,39,28
98,Groom Hinata,47,37,27,40,21
99,Valter,42,32,31,34,19
100,Halloween Kagero,41,38,21,32,33
101,New Year Corrin (M),37,32,30,34,18
102,Hoshidan Summer Xander,38,35,17,34,16
103,Boey,43,29,27,32,18
104,Valentian Palla,41,42,21,41,28
105,Duessel,41,39,18,39,31
106,Travant,46,36,26,40,18
107,Lex,45,36,30,38,19
108,Tibarn,41,38,31,34,18
109,Robin (M),40,29,29,29,22
110,Robin (F),40,29,29,29,22
111,Ike,42,35,31,32,18
112,Heath,40,35,33,33,27
113,Frederick,43,35,25,36,14
114,Hawkeye,45,33,22,28,30
115,Fallen Hardin,45,34,28,36,32
116,Halloween Hector,47,41,26,39,27
117,Gray,43,35,32,30,22
118,New Year Kyza,45,39,26,41,30
119,Itsuki,41,37,30,33,32
120,Chrom,47,37,25,31,17
121,Cherche,46,38,25,32,16
122,Lyon,41,34,21,26,30
123,Jeralt,41,43,26,39,30
124,Valentine's Chrom,40,44,27,40,26
125,Pirate Tibarn,42,41,30,36,18
126,Spring Bruno,41,30,24,35,14
127,Summer Helbindi,44,36,18,37,33
128,Saber,40,31,33,32,22
129,Minerva,40,31,33,32,22
130,Nemesis,43,39,23,37,34
131,Spring Xander,40,25,28,35,26
132,Ninja Heath,42,43,23,40,30
133,Winter Eirika,42,36,23,30,34
134,Ross,47,38,31,32,24
135,Pirate Darros,46,36,32,37,21
136,Effie,50,40,22,33,23
137,Sonia,40,35,24,32,35
138,Alm,45,33,30,28,22
139,Sigurd,41,35,32,34,17
140,Summer Xander,43,32,30,36,16
141,Gwendolyn,49,30,24,38,28
142,Halloween Dorcas,49,41,25,37,21
