Rank,Title,HP,ATK,SPD,DEF,RES
0,Tiki (Adult),40,35,23,35,24
1,Soiree Berkut,41,36,23,37,24
2,Dorcas,45,35,23,35,24
3,Silas,40,35,24,36,21
4,Oboro,40,32,26,35,24
5,Reinhardt (WT),40,35,23,31,28
6,Berkut,43,34,22,31,24
7,Death Knight,40,35,25,30,27
8,Shiro,41,35,30,35,22
9,Silque,39,33,23,35,31
10,Groom Zelot,41,37,25,39,25
11,Alfonse,43,35,25,32,22
12,Legendary Sigurd,41,41,23,37,26
13,Hríd,41,37,17,36,26
14,Fallen Berkut,40,35,17,35,30
15,Halloween Jakob,42,35,23,33,32
16,Michalis,43,34,26,35,19
17,Legendary Ike,41,36,30,35,21
18,New Year Hríd,42,38,19,36,27
19,Brave Ike,43,36,28,35,20
20,Fallen Orson,43,38,28,36,23
21,Valentine's Líf,39,39,25,30,25
22,Bantu,45,34,28,35,26
23,Spring Camilla,39,35,25,30,19
24,Legendary Chrom,41,42,26,34,25
25,Legendary Leif,40,38,22,29,27
26,Donnel,43,35,29,32,23
27,Spring Henry,41,37,27,40,23
28,Laslow,44,35,26,30,22
29,Laevatein,39,37,31,34,22
30,Myrrh,42,33,25,36,31
31,Cormag,42,36,32,34,23
32,Duo Palla,40,39,31,33,24
33,Fallen Ashnard,43,37,21,35,31
34,Dimitri,40,36,29,34,18
35,Masquerade Quan,40,41,20,36,20
36,Reinhardt,38,32,23,27,25
37,Soiree Reinhardt,38,34,21,27,25
38,Ephraim,45,35,25,32,20
39,Mustafa,45,38,25,36,28
40,Spring Bartre,46,40,26,35,25
41,Gunter,43,32,24,33,18
42,Duo Ephraim,41,39,30,37,25
43,Jorge,45,36,27,35,29
44,Heath,40,35,33,33,27
45,Sonia,40,35,24,32,35
46,Eldigan,45,32,24,34,19
47,Helbindi,44,35,18,35,31
48,Summer Tiki (Adult),35,36,30,32,24
49,Bertram,45,37,27,38,26
50,Exalted Chrom,41,37,28,34,17
51,Legendary Ephraim,43,36,27,33,18
52,Frederick,43,35,25,36,14
53,Pirate Veronica,38,39,19,36,29
54,Valentine Silque,40,28,22,32,29
55,Seliph,47,34,24,30,22
56,Valbar,49,35,25,38,26
57,Lukas,45,35,22,38,17
58,Gerome,45,38,25,34,19
59,Ares,40,36,30,33,18
60,Haar,45,37,25,36,18
61,Beruka,46,29,23,37,22
62,Garon,43,33,22,33,32
63,New Year Alfonse,41,38,17,35,30
64,Walhart,41,37,27,36,16
65,Velouria,40,35,37,33,23
66,Galle,46,38,22,38,28
67,Fallen Gustav,40,41,25,38,30
68,Edelgard,41,39,30,37,21
69,Fallen Robin (M),48,40,24,35,27
70,Altena,45,37,25,39,20
71,Arthur (Fates),43,32,29,30,24
72,Clive,45,33,25,32,19
73,Masquerade Eldigan,43,38,26,37,18
74,Hoshidan Summer Xander,38,35,17,34,16
75,Brave Ephraim,46,38,27,37,26
76,Winter Robin,45,35,34,35,25
77,Legendary Seliph,41,41,17,37,26
78,Conrad,40,31,22,34,35
79,Xander,44,32,24,37,17
80,Legendary Hector,47,40,23,38,26
81,Caineghis,47,37,23,37,30
82,Halloween Dozla,45,38,29,35,27
83,Valentine Conrad,39,32,23,33,35
84,Winter Ephraim,45,41,23,36,29
85,Valentine's Alfonse,43,38,25,37,31
86,Spring Bruno,41,30,24,35,14
87,Spring Xander,40,25,28,35,26
88,Líf,42,38,30,34,29
89,Tobin,46,31,27,33,26
90,Halloween Kagero,41,38,21,32,33
91,Hinata,47,32,24,36,18
92,Midori,41,41,30,34,21
93,Nowi,45,34,27,30,27
94,Mordecai,47,37,24,39,20
95,Winter Cecilia,41,35,23,30,36
96,Sigurd,41,35,32,34,17
97,Fernand,45,41,26,32,23
98,Nah,44,34,25,38,32
99,Winter Eirika,42,36,23,30,34
100,Luke,43,34,28,30,20
101,Summer Laevatein,38,38,16,31,26
102,Adrift Corrin (M),42,35,35,31,24
103,Sophia,40,33,19,28,29
104,Gordin,43,31,25,32,17
105,Kjelle,47,40,22,37,28
106,Picnic Leo,37,33,21,27,28
107,Narcian,42,29,29,32,26
108,Dieck,40,40,35,36,25
109,Gray,43,35,32,30,22
110,Valter,42,32,31,34,19
111,Saber,40,31,33,32,22
112,Nemesis,43,39,23,37,34
113,Halloween Ena,44,36,23,37,36
114,Brave Hector,48,37,22,39,28
115,Lyon,41,34,21,26,30
116,New Year Camilla,40,33,35,31,23
117,Minerva,40,31,33,32,22
118,Stahl,45,31,26,30,22
119,Effie,50,40,22,33,23
120,Ike,42,35,31,32,18
121,Tibarn,41,38,31,34,18
122,Seth,37,32,31,32,22
123,Eyvel,41,33,35,38,25
124,Robin (F),40,29,29,29,22
125,New Year Corrin (M),37,32,30,34,18
126,Legendary Marth,40,34,36,32,21
127,Young Minerva,40,36,37,35,19
128,Valentian Palla,41,42,21,41,28
129,Yarne,40,35,33,32,17
130,Tiki (Young),41,31,30,32,29
131,Itsuki,41,37,30,33,32
132,Kana (F),40,30,34,33,26
133,Keaton,45,41,24,38,19
134,Ymir,38,40,26,35,34
135,Limstella,41,39,23,32,36
136,Fallen Hardin,45,34,28,36,32
137,Hinoka,41,35,32,25,24
138,Osian,42,35,36,33,27
139,Valentine's Chrom,40,44,27,40,26
140,Hector (LA),50,38,21,40,24
141,Robin (M),40,29,29,29,22
142,Finn,40,34,33,32,18
