Rank,Title,HP,ATK,SPD,DEF,RES
0,Tiki (Adult),40,35,23,35,24
1,Soiree Berkut,41,36,23,37,24
2,Silas,40,35,24,36,21
3,Dorcas,45,35,23,35,24
4,Oboro,40,32,26,35,24
5,Reinhardt (WT),40,35,23,31,28
6,Berkut,43,34,22,31,24
7,Death Knight,40,35,25,30,27
8,Groom Zelot,41,37,25,39,25
9,Shiro,41,35,30,35,22
10,Alfonse,43,35,25,32,22
11,Silque,39,33,23,35,31
12,Legendary Sigurd,41,41,23,37,26
13,Legendary Ike,41,36,30,35,21
14,Michalis,43,34,26,35,19
15,Hríd,41,37,17,36,26
16,Halloween Jakob,42,35,23,33,32
17,Fallen Berkut,40,35,17,35,30
18,Spring Camilla,39,35,25,30,19
19,Valentine's Líf,39,39,25,30,25
20,Legendary Chrom,41,42,26,34,25
21,Brave Ike,43,36,28,35,20
22,Fallen Orson,43,38,28,36,23
23,Spring Henry,41,37,27,40,23
24,Legendary Leif,40,38,22,29,27
25,New Year Hríd,42,38,19,36,27
26,Donnel,43,35,29,32,23
27,Bantu,45,34,28,35,26
28,Laslow,44,35,26,30,22
29,Masquerade Quan,40,41,20,36,20
30,Ephraim,45,35,25,32,20
31,Soiree Reinhardt,38,34,21,27,25
32,Duo Palla,40,39,31,33,24
33,Reinhardt,38,32,23,27,25
34,Laevatein,39,37,31,34,22
35,Fallen Ashnard,43,37,21,35,31
36,Myrrh,42,33,25,36,31
37,Dimitri,40,36,29,34,18
38,Cormag,42,36,32,34,23
39,Eldigan,45,32,24,34,19
40,Sonia,40,35,24,32,35
41,Heath,40,35,33,33,27
42,Spring Bartre,46,40,26,35,25
43,Duo Ephraim,41,39,30,37,25
44,Gunter,43,32,24,33,18
45,Jorge,45,36,27,35,29
46,Mustafa,45,38,25,36,28
47,Valbar,49,35,25,38,26
48,Legendary Ephraim,43,36,27,33,18
49,Gerome,45,38,25,34,19
50,Walhart,41,37,27,36,16
51,Valentine Silque,40,28,22,32,29
52,Bertram,45,37,27,38,26
53,Summer Tiki (Adult),35,36,30,32,24
54,Exalted Chrom,41,37,28,34,17
55,Pirate Veronica,38,39,19,36,29
56,New Year Alfonse,41,38,17,35,30
57,Haar,45,37,25,36,18
58,Lukas,45,35,22,38,17
59,Helbindi,44,35,18,35,31
60,Ares,40,36,30,33,18
61,Seliph,47,34,24,30,22
62,Garon,43,33,22,33,32
63,Beruka,46,29,23,37,22
64,Frederick,43,35,25,36,14
65,Legendary Seliph,41,41,17,37,26
66,Galle,46,38,22,38,28
67,Valentine's Alfonse,43,38,25,37,31
68,Halloween Dozla,45,38,29,35,27
69,Winter Ephraim,45,41,23,36,29
70,Legendary Hector,47,40,23,38,26
71,Spring Xander,40,25,28,35,26
72,Clive,45,33,25,32,19
73,Conrad,40,31,22,34,35
74,Fallen Robin (M),48,40,24,35,27
75,Caineghis,47,37,23,37,30
76,Spring Bruno,41,30,24,35,14
77,Hoshidan Summer Xander,38,35,17,34,16
78,Velouria,40,35,37,33,23
79,Xander,44,32,24,37,17
80,Winter Robin,45,35,34,35,25
81,Masquerade Eldigan,43,38,26,37,18
82,Arthur (Fates),43,32,29,30,24
83,Fallen Gustav,40,41,25,38,30
84,Brave Ephraim,46,38,27,37,26
85,Altena,45,37,25,39,20
86,Edelgard,41,39,30,37,21
87,Valentine Conrad,39,32,23,33,35
88,Tobin,46,31,27,33,26
89,Mordecai,47,37,24,39,20
90,Halloween Kagero,41,38,21,32,33
91,Hinata,47,32,24,36,18
92,Luke,43,34,28,30,20
93,Adrift Corrin (M),42,35,35,31,24
94,Nowi,45,34,27,30,27
95,Sigurd,41,35,32,34,17
96,Sophia,40,33,19,28,29
97,Summer Laevatein,38,38,16,31,26
98,Nah,44,34,25,38,32
99,Winter Cecilia,41,35,23,30,36
100,Winter Eirika,42,36,23,30,34
101,Líf,42,38,30,34,29
102,Fernand,45,41,26,32,23
103,Midori,41,41,30,34,21
104,Saber,40,31,33,32,22
105,New Year Camilla,40,33,35,31,23
106,Gray,43,35,32,30,22
107,Tibarn,41,38,31,34,18
108,Ike,42,35,31,32,18
109,Effie,50,40,22,33,23
110,Halloween Ena,44,36,23,37,36
111,Narcian,42,29,29,32,26
112,Stahl,45,31,26,30,22
113,Dieck,40,40,35,36,25
114,Kjelle,47,40,22,37,28
115,Lyon,41,34,21,26,30
116,Seth,37,32,31,32,22
117,Picnic Leo,37,33,21,27,28
118,Valter,42,32,31,34,19
119,Gordin,43,31,25,32,17
120,Eyvel,41,33,35,38,25
121,Brave Hector,48,37,22,39,28
122,Minerva,40,31,33,32,22
123,Nemesis,43,39,23,37,34
124,Ymir,38,40,26,35,34
125,Fallen Hardin,45,34,28,36,32
126,Valentine's Chrom,40,44,27,40,26
127,Valentian Palla,41,42,21,41,28
128,Osian,42,35,36,33,27
129,Tiki (Young),41,31,30,32,29
130,Itsuki,41,37,30,33,32
131,Robin (F),40,29,29,29,22
132,Kana (F),40,30,34,33,26
133,Keaton,45,41,24,38,19
134,Limstella,41,39,23,32,36
135,Hinoka,41,35,32,25,24
136,Legendary Marth,40,34,36,32,21
137,Finn,40,34,33,32,18
138,Hector (LA),50,38,21,40,24
139,Robin (M),40,29,29,29,22
140,Yarne,40,35,33,32,17
141,Young Minerva,40,36,37,35,19
142,New Year Corrin (M),37,32,30,34,18
